SR_TYPE,YEAR_MONTH,COMMUNITY_AREA,RESPONSE_DAYS_MEDIAN
Abandoned Vehicle Complaint,2019-05,43,9.5
Abandoned Vehicle Complaint,2019-05,44,20.1
Abandoned Vehicle Complaint,2019-05,45,4.3
Abandoned Vehicle Complaint,2019-05,46,10.2
Abandoned Vehicle Complaint,2019-05,47,5.7
Abandoned Vehicle Complaint,2019-05,48,11.0
Abandoned Vehicle Complaint,2019-05,49,6.7
Abandoned Vehicle Complaint,2019-05,50,9.9
Abandoned Vehicle Complaint,2019-05,51,8.9
Abandoned Vehicle Complaint,2019-05,52,8.8
Abandoned Vehicle Complaint,2019-05,53,5.7
Abandoned Vehicle Complaint,2019-05,54,0.3
Abandoned Vehicle Complaint,2019-05,56,9.3
Abandoned Vehicle Complaint,2019-05,57,7.1
Abandoned Vehicle Complaint,2019-05,58,8.6
Abandoned Vehicle Complaint,2019-05,59,5.2
Abandoned Vehicle Complaint,2019-05,60,16.0
Abandoned Vehicle Complaint,2019-05,61,10.9
Abandoned Vehicle Complaint,2019-05,62,6.8
Abandoned Vehicle Complaint,2019-05,63,17.1
Abandoned Vehicle Complaint,2019-05,64,11.8
Abandoned Vehicle Complaint,2019-05,65,8.8
Abandoned Vehicle Complaint,2019-05,66,15.5
Abandoned Vehicle Complaint,2019-05,67,7.0
Abandoned Vehicle Complaint,2019-05,68,12.8
Abandoned Vehicle Complaint,2019-05,69,10.9
Abandoned Vehicle Complaint,2019-05,70,16.3
Abandoned Vehicle Complaint,2019-05,71,12.6
Abandoned Vehicle Complaint,2019-05,72,4.8
Abandoned Vehicle Complaint,2019-05,73,8.2
Abandoned Vehicle Complaint,2019-05,74,6.8
Abandoned Vehicle Complaint,2019-05,75,11.0
Abandoned Vehicle Complaint,2019-05,76,17.7
Abandoned Vehicle Complaint,2019-05,77,18.7
Abandoned Vehicle Complaint,2019-06,1,15.6
Abandoned Vehicle Complaint,2019-06,2,14.9
Abandoned Vehicle Complaint,2019-06,3,7.3
Abandoned Vehicle Complaint,2019-06,4,20.2
Abandoned Vehicle Complaint,2019-06,5,11.7
Abandoned Vehicle Complaint,2019-06,6,10.6
Abandoned Vehicle Complaint,2019-06,7,17.0
Abandoned Vehicle Complaint,2019-06,8,9.0
Abandoned Vehicle Complaint,2019-06,9,10.0
Abandoned Vehicle Complaint,2019-06,10,9.8
Abandoned Vehicle Complaint,2019-06,11,8.0
Abandoned Vehicle Complaint,2019-06,12,4.8
Abandoned Vehicle Complaint,2019-06,13,13.7
Abandoned Vehicle Complaint,2019-06,14,9.9
Abandoned Vehicle Complaint,2019-06,15,11.0
Abandoned Vehicle Complaint,2019-06,16,13.4
Abandoned Vehicle Complaint,2019-06,17,12.8
Abandoned Vehicle Complaint,2019-06,18,17.0
Abandoned Vehicle Complaint,2019-06,19,14.8
Abandoned Vehicle Complaint,2019-06,20,23.0
Abandoned Vehicle Complaint,2019-06,21,10.0
Abandoned Vehicle Complaint,2019-06,22,10.0
Abandoned Vehicle Complaint,2019-06,23,10.4
Abandoned Vehicle Complaint,2019-06,24,13.9
Abandoned Vehicle Complaint,2019-06,25,11.9
Abandoned Vehicle Complaint,2019-06,26,5.7
Abandoned Vehicle Complaint,2019-06,27,12.3
Abandoned Vehicle Complaint,2019-06,28,16.3
Abandoned Vehicle Complaint,2019-06,29,11.8
Abandoned Vehicle Complaint,2019-06,30,11.8
Abandoned Vehicle Complaint,2019-06,31,14.0
Abandoned Vehicle Complaint,2019-06,32,5.1
Abandoned Vehicle Complaint,2019-06,33,13.0
